timestamp,no,src_ip,dst_ip,protocol,src_port,dst_port,length,flags,info,http_method,http_host,http_path,http_status,credentials_str,ttl,is_suspicious
16:02:36.495,849,192.168.1.10,104.29.142.22,UDP,52281,19316,128,,UDP packet,,,,,,128,True
16:02:36.495,850,104.29.142.22,192.168.1.10,UDP,19316,52281,94,,UDP packet,,,,,,58,False
16:02:36.497,851,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.498,852,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.500,853,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.502,854,192.168.1.10,142.251.154.119,HTTPS,62899,443,75,,HTTPS packet,,,,,,128,False
16:02:36.503,855,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.505,856,104.29.142.22,192.168.1.10,UDP,19316,52281,158,,UDP packet,,,,,,58,False
16:02:36.506,857,142.251.154.119,192.168.1.10,HTTPS,443,62899,191,,HTTPS packet,,,,,,61,False
16:02:36.508,858,142.250.203.1,192.168.1.10,HTTPS,443,64440,185,,HTTPS packet,,,,,,60,False
16:02:36.510,859,142.251.154.119,192.168.1.10,HTTPS,443,62899,1284,,HTTPS packet,,,,,,61,False
16:02:36.511,860,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.513,861,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.515,862,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.516,863,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.516,864,192.168.1.10,142.251.154.119,HTTPS,62899,443,74,,HTTPS packet,,,,,,128,False
16:02:36.531,865,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.534,866,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.535,867,192.168.1.10,142.250.203.1,HTTPS,64440,443,78,,HTTPS packet,,,,,,128,False
16:02:36.539,868,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.541,869,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
